f1,f2,Q1,FoM1,S1,Q2,FoM2,S2
0.88725,2.4535,39.46437,534.0286,11.299028,4.0596943,20.887823,6.8546743
0.94395,2.3695002,39.26581,524.3337,11.294507,4.8803954,27.505693,6.8549085
0.85785,2.3755,39.26581,524.3337,11.306074,4.0596943,20.887823,6.872234
0.8883,2.4565,39.26581,524.3337,11.330084,4.152775,21.639091,6.8604846
0.87359995,2.4025,108.51612,3907.754,11.304897,4.324479,23.035803,6.8910136
0.8778,2.4325001,62.455685,1656.7852,11.30046,4.0596943,20.887823,6.8689694
0.88725,2.4535,39.499805,535.75415,11.295248,4.0705037,20.974981,6.854203
0.8883,2.4505,39.26581,524.3337,11.32388,4.0596943,20.887823,6.85734
0.8778,2.4325001,39.26581,524.3337,11.339057,4.0596943,20.887823,6.874757
0.87359995,2.4025,121.51354,4567.5146,11.360396,4.9612026,28.208063,6.8968186
0.85679996,2.3695002,39.79157,549.96515,11.285127,4.7094903,26.125042,6.8520007
0.87465,2.3815,73.85347,2224.7927,11.361349,4.84736,27.299475,6.911689
0.88725,2.4535,39.415485,531.63293,11.287866,4.0661187,20.93962,6.854084
0.85679996,2.3725,40.539787,586.6074,11.309235,4.0596943,20.887823,6.8743515
0.85679996,2.3695002,39.496613,535.57904,11.279894,4.8968377,27.63688,6.8536615
0.85785,2.3845,39.49564,535.6017,11.336198,6.573674,41.266243,6.886463
0.87990004,2.4415,52.161087,1154.4226,11.305662,4.1523485,21.636303,6.865734
0.85785,2.3785,39.26581,524.3337,11.294184,5.7478833,34.53434,6.8697124
0.8778,2.4355001,69.37845,1993.3419,11.291177,5.769647,34.689358,6.860594
0.85679996,2.3695002,39.935932,557.02454,11.291069,4.8088984,26.927362,6.8531127
0.87885,2.4385,39.26581,524.3337,11.349157,4.0596943,20.887823,6.8593173
0.87465,2.3905,116.26584,4296.818,11.329935,4.0596943,20.887823,6.9203076
0.87465,2.3935,112.64844,4114.096,11.316107,4.9007626,27.779564,6.9514794
0.87990004,2.4415,49.46562,1022.78986,11.306994,4.2454333,22.387913,6.8643336
0.8757,2.4205,115.83753,4259.501,11.290473,4.0596943,20.887823,6.9194713
0.8725501,2.3755,106.13472,3796.3354,11.318539,4.4543586,24.087584,6.8875833
0.85679996,2.3695002,39.9064,555.5698,11.287055,4.770199,26.614866,6.8525515
0.85679996,2.3695002,39.898396,555.18915,11.289849,4.7774944,26.673985,6.8528814
0.945,2.3725,39.26581,524.3337,11.328942,4.0596943,20.887823,6.8711224
0.88935006,2.4445,39.26581,524.3337,11.422818,4.2614093,22.516499,6.8627143
0.8778,2.4355001,61.483597,1608.8291,11.296413,5.718918,34.2792,6.8602777
0.85679996,2.3695002,39.919254,556.2043,11.2891865,4.7911406,26.783964,6.8528595
0.8883,2.4505,39.26581,524.3337,11.334645,4.0596943,20.887823,6.857968
0.94395,2.3695002,39.26581,524.3337,11.293954,4.8444285,27.214643,6.853934
0.8778,2.4325001,48.5174,976.6883,11.311738,5.198926,30.09145,6.8661923
0.85679996,2.3695002,39.989567,559.6493,11.293205,4.8374925,27.158283,6.8535094
0.945,2.3695002,39.26581,524.3337,11.307097,5.0300183,28.715122,6.857155
0.8725501,2.3875,110.904175,4028.791,11.316161,4.0596943,20.887823,6.891874
0.85785,2.3875,39.69913,545.62384,11.355514,4.0596943,20.887823,6.894426
0.85679996,2.3695002,39.7185,546.3967,11.282612,4.6767445,25.860786,6.8516026
0.87465,2.3845,112.743835,4129.15,11.342205,5.5506673,33.028103,6.913503
0.88095003,2.4445,39.26581,524.3337,11.411728,4.2095447,22.097715,6.8626003
0.8778,2.4234998,39.26581,524.3337,11.396054,4.281777,22.697695,6.918696
0.8725501,2.3815,93.38679,3173.2473,11.320889,4.5661,24.99007,6.8824954
0.945,2.3725,39.26581,524.3337,11.326399,4.0596943,20.887823,6.8642793
0.85679996,2.3695002,40.13821,566.9259,11.298217,4.899356,27.657936,6.854329
0.94395,2.3695002,39.26581,524.3337,11.283987,4.7021503,26.066252,6.8524294
