r1,r2,w,g
2.7938502,2.2346551,2.7930002,2.9733713
2.2483325,2.799515,2.2207797,1.8004098
2.2036767,2.7450016,2.3961437,1.8223109
2.7828114,2.348548,2.7835498,2.997562
2.2128649,2.3589983,2.642452,2.2287695
2.3497412,2.2736342,2.7044666,2.8981705
2.7790098,2.2022665,2.7998672,2.9996367
2.753609,2.2167196,2.795762,2.9843054
2.3465412,2.2943451,2.764714,2.769161
2.2840645,2.394652,2.6840756,2.1686778
2.2029219,2.799984,2.218512,1.8000042
2.7194228,2.755618,2.2182808,1.814604
2.7987373,2.2011943,2.7829375,2.999687
2.2468479,2.792118,2.4733474,1.8009824
2.2179897,2.7956977,2.346231,1.8006165
2.2414148,2.7945359,2.7572138,1.801378
2.5967119,2.2855184,2.7835011,2.9830713
2.2039022,2.781232,2.5333562,1.8007026
2.3116012,2.207781,2.7980504,2.9823508
2.2092628,2.7999992,2.2003622,1.8
2.3811252,2.2001898,2.7999802,2.9999309
2.6123548,2.7031932,2.3655531,2.002974
2.637576,2.7608695,2.7194908,1.9824619
2.5720599,2.219371,2.7973554,2.9795122
2.4054518,2.698862,2.6390023,2.654636
2.5945032,2.7905998,2.309838,1.8132441
2.200803,2.7999802,2.2009585,1.8000003
2.2077196,2.7966373,2.2171903,1.8045945
2.3798618,2.7994852,2.2068024,1.8000306
2.6947377,2.2117126,2.7971003,2.9294775
2.2912762,2.2017748,2.799973,2.9997222
2.205422,2.7999935,2.2006283,1.8000002
2.7531948,2.2410824,2.7988558,2.9666257
2.2221682,2.7935755,2.2158432,1.800834
2.275745,2.2057989,2.79662,2.9688745
2.2109199,2.7953842,2.2020373,1.8002257
2.2581096,2.7796497,2.2163181,1.8011155
2.335823,2.6929781,2.383926,1.9813023
2.2118764,2.7066934,2.784592,1.8150978
2.20033,2.7967818,2.231735,1.8000146
2.783599,2.7575114,2.290487,1.8448328
2.6408381,2.2002952,2.7999964,2.9999604
2.5561504,2.439946,2.77954,2.4571004
2.2271535,2.513249,2.2386758,2.033151
2.2663763,2.7786224,2.2585714,1.8469586
2.213696,2.7883081,2.2039895,1.8068259
2.2296083,2.7982168,2.24937,1.8004545
2.2123299,2.7995465,2.2052577,1.8000039
2.216134,2.539667,2.7385023,1.8641251
